제목,내용,게시자,게시날짜
오타쿠의 블로그 (10월호),스불재임 10/26 (목) 암튼 하루만에 디지게 만들고 조져짐 갑자기 내 순서가 아니었는데 내 순서라 해서 발표 때 걍 마사지 기계 마냥 와달달달 발음이 걍 뭐 외국인 수준으로 절고 불행 중 다행인 건지 모르겟디만... 저 새끼 외국인인가 하는 생각을 하게 하는 엄마 거푸집...,공니's,6일 전
백수일기 23년 11월 정산 i,"걍 헤드폰 바꿀 걸 그랬나도 싶고 ^^7 스불재, 스불재 6. 고창 #선운사 미쳐가지고 새벽 3시부터 시작한 기행. 말이 새벽 3시고, 기상하는데 40분 버티고, 4시부터 준비해서 5시에 나왔는데 그것도 너무 일찍 나온 거라서 편의점에서 아침 먹었다고 ..., 나중에 찾아보니까 더...",Wanderlust,6일 전
수능이란 건 망했든 잘 봤든 대학에 온 순간 다신 없을 추억이 된다,용산역 카카오프렌즈샵에서 야무지게 사 온 라이언 키링 춘식이 역무원 키링도 있는데 그건 엄마가 가져감 가방에 야무지게 달아줬습니다 십일월 십팔일 토요일 스스로 집에 갈 시간을 늦춰버린 스불재. 1등 120만원... 은 제가 노리는 게 아닙니다 1만원 문화상품권이나...,열심히 살지 마요네-즈,6일 전
11/19,오늘은 오랜만에 바다보러갔다 가는 길에 다람쥐(?)도 봄 겁나귀여워 일광욕을 즐기는 것이 목표였는데 밍기적거리다 늦게 가서 금세 추워져서 후퇴ㅠ 아름다웠다 저녁은 KFC 괜히 먹었다가 지금 가스차고 난리남 며칠동안 입터져서 과식한 ㅠ 여기와서 처음으로...,쓰고보는 블로그,6일 전
남겨진 마음들도 지나버린 시간도,ㄴ 안돼 현지는 마감해야돼 ◠‿◠ 1118 감사합니다 제 최애 케이크예요 느지막히 눈떠서 오랜만에 취미생활을 해줌 그래도 몇년 더 늙었다고 노하우가 좀 생겼는지 하루 만에 뚝딱뚝딱 해치웠다 놀랍게도 저기 꽂힌 책 하나하나 다 만든 거임 ㅠ ... 하지만 난 고통을...,From_sunset,6일 전
주간일기 N19. 뭔가 있으면서 없는 2주,"스불재… 지금 생각하니까 또 마이 화나네 이즈니 생메르. 좋은 버터 써서 그런지 맛은 있습니다. - 갈레트는 좀 기름이 많고, 사브레는 깔끔한 버터쿠키 맛 - 생각보다 칼로리는 개당 100 언저리 - 방부제 없이 그때그때 만들어 파는 쿠키라 유통기한 짧음 주의 8. 대출 연장...",일과 사십칠분의 이,6일 전
컴활 1급 필기 실기 인강 독학 도전 후기 갓생챌린지,"그래서 지금 애드투에서 이미남 선생님의 '컴활 1급 4주 완성 패키지'를 수강 중임 스불재의 끝판왕,,, 아니 이건 갓생챌린지 미라클모닝 도전기 1. 왜 컴활 1급 필기 독학 & 인강을 선택했을까? 컴활 1급 필기 독학 대실패 이후, (사실 이틀 벼락치기 했쥐만 ㅜ 천재들...",Jump in the cold water,1주 전
순진 말고 순수,"2. 아아 스불재 인생이여... 매일 할 일을 해내도, 다음날이면 리필이 되네요. 아침마다 새롭고 늘 새로운게 일도 같이 오는 거였음^^... 근데 시작하기가 싫지 막상 컴퓨터 앞에 앉으면 시간가는 줄도 모르고 몰입한다. 결론: 일단 앉자^_^",Glad Jieun-!,1주 전
10-6/11-1: 다 써놓고 안 올린 2주 전의 기록,"스불재란 이런 거구나. 그런 걸 느낄 수 있었고. 좀 더 그 뭐랄까, 참신하게 숨 막히는? 그런 공포를 원했는데... 이 영화는 좀 그 뭐냐 쇼킹한? 이미지?로 사람을 기분 나쁘게 만들려는, 그런 노선이라 취향은 아녔다. 잠깐만 내 어휘력이 젤 공포인 듯. ㅡ 어쨌든 이번 주의...",ｐｈａｎｉ,1주 전
우리칠 사랑해~♡,그게 스불재가 될 지도 모르고... 콩떡언니랑 이리저리 뛰어다니며 나눔도 열심히 받구 내 나눔도 하고!! 수량을 넘 적게 뽑아서 못받으신 분들한테 너무 죄송했어..... 입장 직전 뎡믐샷 이 때 진짜 추워죽는줄....... 손은 다 얼어서 시뻘겋고 잘 움직이지두 않을...,To,1주 전
바람아 내게 봄을 데려와 줘,"수능 겸 빼빼로 데이 겸의 선물을 만들었는데 청소하는 시간까지 해서 4시간 걸렸어요 허리 죽는 줄 알았음 진짜로 ➪ 물론 스불재 ─── ･ ｡ﾟ☆: *.☽ .* :☆ﾟ. ─── ꒰ఎ TUE 수능기원제 학교에서 6,7교시에 수능 기원제를 했습니다.. 촛불 불 붙이는 거도 했는데...",それがあなたの幸せとしても,1주 전
[게게게겟어기타] 또...,"잘썼죠 헤헤 제가 씀 안녕하십니까 스불재의 신, 스불재의 제왕, 스불재의 황제, 스불재 마스터 V급밴드에서 비챤 선배님의 충성스러운 베이스를 맡고 있는 나은입니다. 챤님께 또 어떤 걸 보여드리면 좋을까 고민의 고민의 고민을 하던 중 유튜브 쇼츠로 본 바로 그 노래.....",왁물원 :: 종합 거시기 스트리머 우왁굳 팬카페,1주 전
제로베이스 콘텐츠 마케팅 스쿨을 마치며.(feat.8기의 회고록),"나 같은 경우는 조원 분들이 다 열심히 하셔서 조끼리 하는 거에는 딱히 어려운 점은 없었지만, 온라인 강의를 들으면서 실습을 같이 해야하기도 하고, 난 이 때까지만 해도 알바(하루 4시간)를 병행하고 있었기 때문에 조금 벅찼던 건 사실,,(;) 카피라이팅 실습에는...",무채로그,1주 전
231119 최강야구 직관 후기 (vs 단국대학교),"진짜 사진들 얼른 꺼내야 하는데 스불재에 깔려 죽을 것 같아요 전광판 ~ 불펜이 바로 옆이여서 좋았음... 진짜 동의대 있었으면 좋았을텐데... 그리고 단국대 웜업 정말 눈앞에서 봤다구요,,, 많이 찍으려 했는데,, 일단 지인분한테 부탁받은 선수랑 제가 좋아할 투수들...",여우비 내리는 봄,1주 전
새알리퀘 를 열어 보아요,거래처랑 드디어 잘풀려서 일단 반액을 받아 오늘 커미션을 신청했거든요 // 쬐끔 ~ 비싸긴했지만 저의 관오님을 위해서라면 ^^ 대략 12 정도 썼어요 ....갑자기 폭주 때림 이렇게 스불재의 늪을 들어가늘 걸지도요 ...이제 만이천원밖에 안남은 ... 말이 많은 저는 이만 주둥이를...,커미션나라 ★ 글.그림.만화.애니.캐릭터.로고.디자인 외주제작,1주 전
국어발표 도와주세요..흑,뭐 신조어나 외래어를 설명?하라는데 추천해주세요... 뭐 정보전달 머시기때문에 한대요..흑,로블록스 커뮤니티 카페,1주 전
[NTU 난양공대] 싱가포르 교환 +98~109 - 스스로 불러온 재앙에 짓눌려... 종강시켜주세요 제발,이것도 스불재였나??? 애-옹 내가 애옹하니까 답을 너무 잘해줘서 동영상 찍으려고 키니까 도도하게 갔어.. 그래서 사진밖에 없어... 히히히히 데드라인 연장이 최고야 근데 사실 할 일이 너무 많아서 연장이 크게 상관은 없지만 기분 엄청 좋아졌었어 ~~~귀여운 동생들이랑 KL...,♡ ⋆⁺₊⋆♡ ⋆⁺₊⋆ ♡ ⋆⁺₊⋆,1주 전
주간일기 76,스불재 처리중 성실한 사람이 됩시다... .. . ㅋㅋㅋㅋㅋㅋㅋ온도차 둘 다 맛있었다 해가 지는 시각이 빨라지는 중 요즘 낙: 차 마시기 후배가 준 생일선물 이제야 쓰기 고마워 애깅 ❤❤ 리찌가 맛있다 비밀의 숲같지 않나요 Who are you 달이 선명히 보엿는데 사진만 찍으면...,star-stuff,1주 전
마일섬 이게 맞나요….,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 부케 아미보 잇는데 마일섬 자만추하고 싶어서 시작한 스불재라.. 언제 이 노동이 끝날까요…ㅌㅋㅋㅋㅋㅋㅋ진짜 미치겟어요 닌텐도 스위치 모여봐요 동물의숲 (모동숲) 커뮤니티 Copyright ⓒ Nintendo Switch Community All rights reserved.,"닌텐도 스위치 한국 커뮤니티[동물의숲,포켓몬스터,젤다,마리오]",1주 전
응 이제 마감하러갈게 ㅠ,내가 그리고싶은것만 그리고싶은데 관죵이 자꾸 리퀘를 열어 왜 스불재해 왜ㅜ!!!!,좀비 고등학교 모바일,1주 전
"[10.17-11.8] 연속적인 스불재 속 휴식, 그리고 다시 스불재",23.10.17 윤또수맥... 윤지 또 수영 후 맥주 친구 생일 맞이로 또 만났는데 수영 가는 날이라서 수영 끝나고 만났어요 친구가 8월에 유럽 다녀왔는데 그 뒤로 처음 만나서 이제야 선물을 받았어요 엽서랑 이것저것 초콜렛 등등 이었는데 이 친구 제가 엽서 모으는 걸 기억하고...,YUN'S LOG,1주 전
내가 요즘 행복한 이유,아냐고요 비록 오뎅 떡볶이 붕어빵 호떡 떡꼬치 염통꼬치 방어 연어 치킨의 계절이 왔지만 도전합니다. 일주일에 한번만 먹겠습니다. 스스로가 불러온 재앙.. 스불재. 맞나?ㅋ 암튼 시작… 얘 진짜 귀여움 어카노 붕어빵같이 맛나게 생겼다 귀여워,no one egg,1주 전
231119,스불재 ON 토익 보고 옷 사고 들어와서 사과를 하나 먹었습니다 무슨 사과냐면 한아 언니가 축제 다녀왔다고 냅다 방에 돌린 ㅋㅋㅋㅋㅋ 진짜 달더라 정말고마 워요 ♡ 나는... 진짜 가끔 오빠가 이해가 잘 안 된다? ^__^... 그치만 숫자 맞춰서 오빠가 행복해졌다면 만족이야...,내 꿈은 당신과 나태하게 사는 것,1주 전
오래된 일기장 찢어 접어 만들어진,하지만 다 내가 벌인 일이고 스불재니까 ㄱㅊ 그리고 이렇게 피곤하게 살면 밤에 눈만 감으면 바로 잠들 수 있고 깊은잠 잘 수 있음 ㅋㅋ 올해 초에 스트레스 역치를 올리려고 작정하고 하루를 빡세고 피곤하게 살아봤다 그런 하루를 보내고 나면 다음날부턴 스스로...,Days of future past,1주 전
얼공,"왜이럼 이라고 생각하시는 분들 잠깐,, ㄴ 저번에 스불재엿나 대충 그것 때문에 저번에 얼공한걸 실수로 게시물 정리하다가 지워버려서,,!! 다시 올립니다 여러분 후회하실수도 잇어요,, 지금 나가시는걸 추천 ..... 드림미다. 항상 셀카는 어렵군요.. 코 왜 가렷냐구요? 코에 ......",신공앱 8/1 [신비아파트],1주 전
"오필리아, 블랑쉬, 프시케... 릴리 Let's go.","스불재라고 하던가요? aka 스스로 불러온 재앙 그 폭풍우에 휘말려서 아니 이게 뭐람 하고 있을 때 주변 친지분께서 보다 못해 첨언해주시기를, 단조로움을 원한다면 생각을 줄여보는 게 어떻겠니, 하시기에..! 생각을 줄이는 방법, 단순한 사고를 하는 방법을 고민했고 또...",Sincerely.lilies,1주 전
79,바부탱 근데 난 진짜 내가 공부할 줄 알았어...스불재 ㄹㅈㄷ 너무너무 아까워.....피눈물 흘리면서 수하물 추가결제함 피치항공 국내선 카운터 ㄹㅇ 개 열악하고 사람없어서 수하물 보내는데도 개오래걸림. 복장 뿌셔뿌셔 탑승시간 딱 맞게 들어가서 셔틀 타요 비행장에...,no titile,1주 전
1118의 분ㅋ자ㅋ욬맄와 1119 텃밭 점검,그것은 스불재이기 때문에 남을 탓할 수가 없어 더 슬픔…) 유튜브에서 플리 고르다가 그 단어가 다시 생각나길래 검색했는데 ㅋㅋㅋㅋㅋ 거의 첫 10 영상 중에서 하나가 바질오일을 이용한 게 아니겠어요?? 그래서 얼추 보니까 바질오일 만들어진 걸 사용하는 게 아니라...,나만의 베란다 텃밭 이야기- 실내텃밭/수경재배/도시농부/나베텃,1주 전
SD 길티 리퀘..?,"요즘 길티가 유행이람서요 저도 플로우 타고싶은데 엘디를 못그려서 다른분들 그림만 손가락 빨며 구경중이었는데 SD도 섹시할 수 있다구요!SD도 배 까기 가능해요 할 수 있,,있...... 있을걸요..?아마도...??? 몰라요 일단 도전해보겠습니다. 여캐남캐 상관없이 받습니다. 슬롯은...",커미션나라 ★ 글.그림.만화.애니.캐릭터.로고.디자인 외주제작,1주 전
여러분 많관부 해 주십셔...,허헣 안녕하세요 스불재 장인 러븝니다... 고생 했으니 여러분... 섞여버린 세계선 많관부 해주십셔....,유튜버 썰레임 팬카페,2주 전
리퀘완료했습니당,그리고저의귀찮음+타sns활동땜시 늦어진것도맞습니다....흑흑죄송합니다 그래서 원래 스불재 그림판리퀘였으나 퀄리티를 조금...더높여서 그려왔습니다 아무쪼록 마음에 들어하셨으면 좋겠습니당... 백님 신찌님 유부초밥님 자감칩님 카사르님 하강님입니당.... 편의상 님...,신공앱 8/1 [신비아파트],2주 전
대충 68분의 단체샷 리퀘 접수 완! (+공개일),신청해주신분 모두 그리고 잇담니다... 샥샥..... 부지런히 하면 내일!! 공개할 수 있을거 같아요 ㅎㅎ (물론 이번 새벽 새면서 하면...히히) 점점 캔버스가 점점 꽉 채워져 가는걸 보면 기분이 좋아져요 헤헤 열분 기대 많이!! 하지마시구 푸우욱 자세용~~ 착한 아이는 일찍...,커미션나라 ★ 글.그림.만화.애니.캐릭터.로고.디자인 외주제작,2주 전
어우 방청소 힘드네요,스불재... 오해하실까바 말하는데 치우는 중이라 저럭게 더러운거지 원래 저정도로 해두고 살진 않슴다ㅋㅋ;,왁물원 :: 종합 거시기 스트리머 우왁굳 팬카페,2주 전
익핱❤️,그냥 요즘 하고싶은거 하나하나 해보려구 하고잇서욥 그중에 스불재도 몇몇 있는데 첫시도부터 스불재인듯;; 최대한 길게 써보려구는한데 사바사로 분량차이는 있을 수 있어요 초면인분들은 게시글 염탐하구 게시글없으시면.....댓글이라도 틈날때마다 써보도록 하겟습니당...,커미션나라 ★ 글.그림.만화.애니.캐릭터.로고.디자인 외주제작,2주 전
눈이 아파용,눈 쌍수랑 안검내반 해서 아픈건데 스불재라서 탓 할것도 없어용... 헤헤 쌍수는 하고싶어서 했고 안검내반은 제가 세포분열을 잘못한 탓... 그치만 아픈걸요,왁물원 :: 종합 거시기 스트리머 우왁굳 팬카페,2주 전
반짝반짝✨,요즘 스불재로..이게 연말이다 보니까 활동이 싹다 겹치더라구요..? 화수목금토일 나가는..이게 휴학생이 맞나 싶은 하루를 보내구 있어요.. 물론 다 공부목적은 아니기때문에 저렇게 꽉꽉채워 일정잡은 제가 잘못이긴 하지만...크흠 큼...(그래두 어떡해여... 친구들이...,힐링 카페 체리쉬,2주 전
캐디 받습니도 스불재만들기…:),이정도 퀄....이모티콘이든 그냥 키워드든 상관없스빈닫:) 시간 걸릴지도 몰라요 ㅋㅎ...일단 남캐는 왠만하면 뽑을게효 스디로 드립니도 대신 키 같은건 정해드려효:) 많관부입니도:) 없펑,네오아카데미,2주 전
한 템포 쉬고 물 한 모금 마시기.,"현 진행 상황은 세 번째 실을 시작했으나, 내일부터 시한부 백수 인생 청산이라 11월 전에만 끝낼 생각 나는 목 주변이 예민한 편이라 목도리를 안 하지만 만들어 보고는 싶어서 씨스터 주겠다고 한 건데 취미 부자 인생 중 가장 큰 (스스로 불러온 고통)를 겪으며...",댕로그,4주 전
뭔 하루가 먹고 뜨개질하고 덕질하고 먹다가 끝나네,그래서 그 조합대로 바로 다 교환함(스불재) 카페 고양이 귀엽죠 전날 위버스에 탕후루와 몽블랑 얘기가 올라왔기 때문에 그걸 먹어야만 하는 부타쿠들 탕후루는 죽어도 싫대서 크림브륄레를 크림탕후루..라고 생각하고 먹었읍니다 스트리트 막날 한번 더 갔다 ㅎ 자연도...,알밤로그,4주 전
왔다왔다!,9월13일 루쨘의 스불재 향수룰렛당첨!ㅎ 한방에 당첨이었는데 루쨘이 3~4번만 돌리라고하셔서 돌리고 방송으로 확인했는데 첫방에 당첨이었..ㅋㅋ 그리고 오늘 온 카톡! 드뎌오는구낭!! 기대기대하면서 기다리다가 받음! 케이스 겁나 내취향 심플 고급짐! 박스 열면서 부터...,싸이코드 팬카페,4주 전
심즈4) 코모레비 한국화,글타고 좋아하지도 않았나봄 특히나 내(심)가 안에 들어가서 사는 건 그냥 작품 배경에 지나가는 거랑은 완전 다른 문제인듯.. 하 이제 배경 다 고치면 부지 다 갈아엎고 심도 다 갈아엎어야 된다 근데 그러고 나서 코모레비에 살 마음이 들지는 알수없음 미쳣다리~~,Rarmai,4주 전
향수 칙하고 이 한번 확인,애들이 뜯어말리는데엔 이유가 다 있는건데 팬심이 스불재를 못 이기네ㅜ 어리버리 인생 레전드 시험 6시부터인데 ‘구’한의대를 한의대로 보고 찾아간 사람이 있다? 심지어 407호가 없길래 이과대도 갔다옴ㅋㅋㅋ 입학식 때 단과대 본관 오라니까 진짜 본관으로 갔던 실력...,The shade of the color blue,4주 전
"수많은 밤, 수많은 꿈, 수많은 이야길 써내려 갈",저 포도는 신포도일 거야 이 사람은 원하는 건 마침내 쟁취해냅니다 8시에 칼같이 줄서기 걸어놨는데 도저히 일어날 힘이 없어서 자다가 일어나서 미루고 또 미루고 한 3번 미루고 나서야 겨우 들어감 근데 속이 너무 안 좋아서 한 4분의 1은 남기고 옴 ㅠㅠ 레전드 ...,영원의 달,4주 전
10월 I am 힘들어요,(라고 일단 우겨봄 야근(이라 쓰고 스불재라 읽는다)하는날 선생님덜 저녁 시켜먹는거 같이 얻어먹엇디... 고기 듬뿍 홍대개미 최고 1일 핫도그집 알바생 나도 영종도 하늘정원 다녀왔다~! 코스모스 떼로 있으니 넘 이쁘더라 아웅 이 귀요미 얼굴 한닙 머거버리기 착한 울...,밤하늘을 소복소복,4주 전
스불재 룰렛 향수 후기,전설의 1트 향수 후기 전에 자랑하기 (˵ ͡° ͜ʖ ͡°˵) 이것이 정녕 저란 말입니까..!!! 아침에 택배문자가 오길래 잉 모지 하다가 향수..? 향수!!!!! 하면서 눈 번쩍 근데 선생님 저 김씨 아닌데ㅇ 하 드디어 공개합니다 도착문자 보자마자 헐레벌떡 달려갔는데 문앞에 놓여있던...,싸이코드 팬카페,4주 전
10월 일상,머 스불재인 것을 10/27 ~ 10/30 대만에 다녀왔습니다 ✨ 대만 여행 블로그 (1/2) 대만 여행 블로그 (2/2) 10/31 시험 후 2주.. 일상에 복귀하다 겨울 날씨에 단풍만 예쁘게 들면 속을 줄 알았냐? 속아줌 ㅇㅇ 아 예뻐 이게 가을? 그리고 지옥의 수업 저는 종종 이 과가 문창과인지...,はる,4주 전
우즈 WOODZ 조승연 앙콘 OO-LI AND를 갔다오다... (스불재의 하루),진짜 스불재로 하루가 너무너무너무너무너무 길고 힘들었습니다..... 근데 극복함! ^&^ 스스로가 토요일날.. 무려 임영웅이 360도... 진짜 스불재 미쳤다....ㅜㅜ D구역이었고 돌출 중앙이어서 넘넘 행복했어요 친구가 티켓을 잡아줬는데 이친구는 멜신이라(멜론티켓의...,"Be brave, Be humble",4주 전
날 네 품 안에 가득 안아줘,"왜 스불재 속에서 살지????? 스케줄이 엉켜서… 무대인사를 취소하고 회의를 갔습니다 근데걍안가도됐는데내가너무찔려서걍다포기함, 암튼 서러운 맘에 올라가는 길에 호두과자를 샀습니다 원래라면 비싸서 쳐다도 안보는데 저와 졸지에 애틋해져버린 친구입니다 방학...",Spxxngluv,4주 전
39 | 잘가라 10월아,오늘 밤새워서 ppt를 만들어도 발표 연습할 시간이 너무 부족함ㅠ 알바만 없었어도 마음 편하게 하는건데 스불재이지만 정말 햄듭니다 알바도 개.처바빴음 뭐 이렇게들 햄버거를 많이 드시나요 00시민 여러분 더 건강한 음식을 드시길 바랍니다 님이 아닌 저를...,천방지축 어리둥절 빙글빙글 돌아가는 UNO의 하루,4주 전
Iam신뢰에요,Early Works 2023 보러 가는 길 ㄴ 그게유타학생증이랑 무슨 관계죠 역시나 지각해서 헐레벌떡 버스타러 뛰어감 스불재의 굴레 진짜힘들다 50분 정도로 제작된 영상을 보면서 콘텐츠 제작자로서 어떤 부분을 고민해야 하고 또 어떤 식으로 표현하면 좋을지 생각해볼 수 있는...,fearless,4주 전
[D-1]설레이는 이 마음은 뭘까 왠지 잠을 이룰 수가 없,드르렁 스불재 워홀 D-1의 여정까지 일본 워홀 비자 붙음 솔직히 이유서 계획서 개대충 썼고 저때 쓸데없이 돈 많이 써서 280만원 기리기리하게 잔고 어쩌구 냈는데 나같은 것도 합격해 주더라 근데 솔직히 되면 좋고 아님 아숩고 ㅋㅋ 이거였는데 여권에 비자 붙은 거 보고 좀...,뚝딱뚝딱,4주 전
10월은 독서으ㅣ 계절,"백수가 되고 싶지만 일을 사서 하게 되는 스불재의 달인 주인공. 그대의 백수라이프를 응원한다오(근데 백수 못 할듯) 눈을 떠보니 소설 속이었다. 그것도 망나니로 유명한 백작가 도련님 몸으로. 하지만, 그렇다고 망나니가 될 순 없잖아? <백작가 망나니가 되었다> 리디...",일상뚝딱,4주 전
블하이 + 팬픽 공지,"블하이:( 지금 합작으로 올리는 글 쓰고 있데 오늘안에 다 못쓸 것 같아요 (작작 놀아야 했습니다... 사실 스불재에요) 쓰다보니까 길어져서 지금 8000자 넘긴 상태네요,,, 최대한 빨리 써오려고 노력할게요 주최자가 이래서 죄송합니다♀️ + 이거 외전도 나옵니다 ☺️",YG 블랙핑크 대표 팬카페 : BLINK,4주 전
시월일상.zip,그래도 스불재니까 나름대로 야매공부법으로 머릿속에 넣고있으나 잘 들어가지 않는다. 그래서 이번 중간은 대차게 말아먹었다. 공부를 더 열심히 하고 그 방법을 연구해봐야겠다. 그리고 대학친구를 사귀지 못해 너무 힘들다 나는 I 100%의 엄청난 내향형 인간이다. 근데...,海底,4주 전
긴급피난 위난뜻,준비 중인 직렬 : 순경 / 전·의경 / 승진 / 경간부 / 특공대 / 9급 / 법원 / 해경 중 선택 질문할 강의 / 교재 : ex) 22년 1차대비 형사법 심화기출강의 49강 / 형사법 형법각론ox p138- 22번 준비 중인 직렬 : 순경 질문할 강의 / 교재 : 24년1차대비 / 질문 내용 : 긴급피난에서...,신과 함께 - 신광은 형사법,4주 전
사람들 사이를 비집고 헤엄쳐 떠나자,1루종일 이지랄하다가 결국 포기하고 잠 또 패배했다 스불재의 연속을 만들어냄 10.23. 커요웡 하..진짜힘들다 1루종일과제함 잠을 못잠 10.24. 학교 끝나고 딸기 아이스크림이 너무 먹고싶었어... 마히땅.. 좆됨 내일 검사인데 1/4장 만듦 결국 수업 당일 새벽5시에 잠 ㅋㅋ...,Merry Go Round,4주 전
개장 1주년 기념 이벤 [종료],"한 달에 한번 나타는 야생의 묘수 등장!@(-_-)v 사실 10월 29일날 올렸어야 하는 글인데,이것저것 정신이 없어서 늦어졌습니다. 10월이 연휴도 많았지만, 개인일로 좀 바빴거든요.. 허허 제 마지막 글이 개장 기념 뭘 할까였던거 같은데, (년수 착각해서 1주년이었답니다...",커미션나라 ★ 글.그림.만화.애니.캐릭터.로고.디자인 외주제작,4주 전
2박 3일 서울쥐 체험 #1,대기하는 곳이 마지막 출구 바로 옆이어서 사람들 찐 반응보고 더 무서워짐ㅠ 스불재ㅠ 진짜 손 끝이 차가워졌다고ㅠㅠ 맨 앞뒤가 제일 무서울 거 같은데 다행히 커플들 사이에 껴서 중간이었다. 차례가 다 되어서 내부에서 대기하고 있는데 우리 앞 팀 사람들이 1분도...,말 많은 오구의 하루,4주 전
MZ 언어라고 합니다..,"이르는말, 스불재: 스스로 불러온 재앙 쉽살재빙: 쉽게만 살면 재미없어 빙고 삼귀다: 사귀기 전 단계 사바사: 사람 by 사람 - case by case 을 변형한 것. 사람에 따라 다르다는 뜻 빠태: 빠른 태세 전환이라는 뜻 비담: 비주얼 담당 복세편살: 복잡한 세상 편하게 살자 보배: 보조...","아파도 직장인: 노무·세무 상담, 직장인 커뮤니티",4주 전
날꿈님 소환!,오늘도 스불재를 실천하는 수이입니다. 애매하게 퀴즈 아닌 퀴즈로 주소 낚기가 취미입니다만.. 성공률 20% 방어률 1%의 비루한 정신을 가지고 있으므로 또…. 선물을 받고 말았습니다. 공격! 해보고 싶었던… 하나 둘 셋을 외쳐보았습니다. 데미지 0이군요. 사진 한장으로...,모두가 초록에 진심,4주 전
나 사전예약계인데 선지자 생일 첨이야,생일 이벤트들 걍 귀찮아서 안했던것같은데ㅠㅠㅠㅠㅠ하 스불재로구나,제5인격 공식 카페,4주 전
해피 할로윈!! 사탕주세오,열심히 마감하던 작업물..*^^* 아 근데 저거 저 혼자 부담하기 힘들어서 친구 한명 데리고 했어요 완전 이쁘죠 제가 유령이에요 유령토끼 매우 어울리는 조합아닌가요 ☺ 앗띠님 d 두번째 담뇽씨의 리퀘인데 10인리퀘 하겠다고 했는데 .. 미쳤조 너무 귀여워요...,커미션나라 ★ 글.그림.만화.애니.캐릭터.로고.디자인 외주제작,4주 전
✈️ [오사카 3박4일] DAY3 | 과음으로 인한 숙취로 날아가버린 3일차_2023.04.05~2023.04.08,스불재인걸... 아무튼 3일차 Start! DAY 3 사실 아침에 어떻게 일어났는지 잘 기억이 안 남 그냥 조식을 먹기 위해 꾸역꾸역 일어난 것 밖엔... ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 일어나서 대애충 씻고 야무지게 조식 담아서 착-석 냠긋 조식 맛있었음 그리고 이 때까지는...,일상 칠하기,4주 전
와 10월이 끝났다고 ?,스불재. 맵부심은 안 부리는 게 맞습니다. 그리고 저스트 댄스 함. ㅋㅋㅋ쿠ㅠㅠㅜㅜㅜㅋㅋ 동영상 보면 진짜. 너무너무 웃김. 우리 수민깅 짖짜 너무 잘함. 다음에 또 해야 됨. 10/19 이쯤 되니 학식 사진이 반인 것 같기도. 이날도 맛있었급니다. 내일 뭐 나오지. 그리고...,˙Ⱉ˙,4주 전
이사 두번다시 하기 싫다 p.s 살려줘요 아직도 안끝남,짐싸야되는데 일하기 싫어서 괜히 셀카찍어봄..ㅋ 자취방 빠이~~ 전세대출 받을때 진짜 떨렸는데 ㅋㅋㅋ케케 이제 상환할 일만 남았꾸낭 아니 자취방 정리하는데 저런거 개마니 붙여놔서 스불재 다 떼느라 아주 손톱이 분리되는줄 ㅠㅠ 강력하다 정말 몬스터테이프 대박ㅋ...,˗ˋˏ 찜 ˎˊ˗,4주 전
생일에 간 서울 최고당,"따라줬고요 근데 하필 버튼을안눌러서 세탁실갔더니 시작도 안된 상태임 글서 2시에 자게됨 이것부터 스불재지요..ㅎ 드라이기한다고 시계 선뽑기, 늦게자기 등등 개 망조에 듭니다. 내용 꽤 길구만요 다음부터는 2편에 쓰겠음 내 망조에 크게 관심들 없쟌쇼? 걍 글갑다 하세요",jeongga__,4주 전
부국제 이야기,부산 나 정말 왜 아침 7시부터 기차 타는 스불재를 선택한 것인지 도착하자마자 짐 놓고 바로 센텀시티로 튀어요 설레는 종이티켓들 발권은 필수 정말 힘든 첫째날이었답니다 짐 서면에 놔 센텀 가 빈 시간에 다시 서면 와 체크인하고 전포로 뛰어가서 가고 싶었던 카페 가...,summer vibe !,4주 전
23년 10월 기록,10월은 이렇게 보냈네요 한게 별로 없는거같은데 야무지게 놀았네요 참... 몸이 아프지 않았었으면 더 좋았을 텐데 이거 완전 스불재라 할 말이 없네요 공주들아 건강하자!!! #홍대 #홍대맛집 #일기 #일상 #속초 #일상블로그,안녕~하세요-,4주 전
D+537 231030,스불재라 입 다물고 가는데 전철 지연 뜸 ㅡㅡ 하늘이 묘하게 예뻐서 찍어보았도다 지금이 가을인 걸까 겨울인 걸까 날씨는 솔직히 봄임... 이 미친 날씨 뭐지 지구가 미쳐 돌아가고 있다 스위치 사서 동물의 숲 하고 싶음... 집에 티비도 안 뒀는데 이 정도는 ㄱㅊ지 않아?...,♡,4주 전
[CNC]나사빠진 톱니바퀴,와떠(심예진)의 스불재이다. 제목은 스스로 불러온 재앙의 준말로 이 기획을 하면서 분명 나중에 지쳐갈 미래를 본 와떠 본인이 직접 지은 이름이다. 큰 꿈과 높은 눈에게 조금이라도 현실(본인의 포토샵 실력)을 일깨워주며 그래도 그 꿈을 위해 노력해나가기 위해 준비...,Content Now Club,4주 전
